frame	reason	ppu_writes	last_ppu_addr	stem
0	lua_start	0	0000	callback_mode=true
0	periodic	0	0000	kunio_fceux_lua_output/frame_000000_001_periodic
1	periodic	0	0000	kunio_fceux_lua_output/frame_000001_002_periodic
33	ppu_burst	38	0000	kunio_fceux_lua_output/frame_000033_003_ppu_burst
95	ppu_burst	46	0000	kunio_fceux_lua_output/frame_000095_004_ppu_burst
125	ppu_burst	46	0000	kunio_fceux_lua_output/frame_000125_005_ppu_burst
233	ppu_burst	72	0000	kunio_fceux_lua_output/frame_000233_006_ppu_burst
284	ppu_burst	46	0000	kunio_fceux_lua_output/frame_000284_007_ppu_burst
314	ppu_burst	254	20A1	kunio_fceux_lua_output/frame_000314_008_ppu_burst
653	ppu_burst	72	0000	kunio_fceux_lua_output/frame_000653_009_ppu_burst
901	periodic	2	0000	kunio_fceux_lua_output/frame_000901_010_periodic
985	ppu_burst	72	0000	kunio_fceux_lua_output/frame_000985_011_ppu_burst
1015	ppu_burst	78	1362	kunio_fceux_lua_output/frame_001015_012_ppu_burst
1346	ppu_burst	70	0000	kunio_fceux_lua_output/frame_001346_013_ppu_burst
1652	ppu_burst	72	0000	kunio_fceux_lua_output/frame_001652_014_ppu_burst
1801	periodic	2	0000	kunio_fceux_lua_output/frame_001801_015_periodic
1942	ppu_burst	70	0000	kunio_fceux_lua_output/frame_001942_016_ppu_burst
2286	ppu_burst	72	0000	kunio_fceux_lua_output/frame_002286_017_ppu_burst
2560	ppu_burst	70	0000	kunio_fceux_lua_output/frame_002560_018_ppu_burst
2701	periodic	2	0000	kunio_fceux_lua_output/frame_002701_019_periodic
2878	ppu_burst	72	0000	kunio_fceux_lua_output/frame_002878_020_ppu_burst
2908	ppu_burst	318	2400	kunio_fceux_lua_output/frame_002908_021_ppu_burst
3238	ppu_burst	70	0000	kunio_fceux_lua_output/frame_003238_022_ppu_burst
3584	ppu_burst	72	0000	kunio_fceux_lua_output/frame_003584_023_ppu_burst
3601	periodic	2	0000	kunio_fceux_lua_output/frame_003601_024_periodic
3896	ppu_burst	70	0000	kunio_fceux_lua_output/frame_003896_025_ppu_burst
4200	ppu_burst	70	0000	kunio_fceux_lua_output/frame_004200_026_ppu_burst
4501	periodic	2	0000	kunio_fceux_lua_output/frame_004501_027_periodic
4854	ppu_burst	72	0000	kunio_fceux_lua_output/frame_004854_028_ppu_burst
5154	ppu_burst	70	0000	kunio_fceux_lua_output/frame_005154_029_ppu_burst
5184	ppu_burst	191	2099	kunio_fceux_lua_output/frame_005184_030_ppu_burst
5225	ppu_burst	46	0000	kunio_fceux_lua_output/frame_005225_031_ppu_burst
5255	ppu_burst	46	0000	kunio_fceux_lua_output/frame_005255_032_ppu_burst
5401	periodic	2	0000	kunio_fceux_lua_output/frame_005401_033_periodic
5451	ppu_burst	200	1063	kunio_fceux_lua_output/frame_005451_034_ppu_burst
5481	ppu_burst	41	0000	kunio_fceux_lua_output/frame_005481_035_ppu_burst
6012	ppu_burst	24	0000	kunio_fceux_lua_output/frame_006012_036_ppu_burst
6301	periodic	2	0000	kunio_fceux_lua_output/frame_006301_037_periodic
6550	ppu_burst	24	0000	kunio_fceux_lua_output/frame_006550_038_ppu_burst
6614	ppu_burst	24	0000	kunio_fceux_lua_output/frame_006614_039_ppu_burst
7091	ppu_burst	46	0000	kunio_fceux_lua_output/frame_007091_040_ppu_burst
7200	final	2	0000	kunio_fceux_lua_output/frame_007200_041_final
7200	lua_done	0	0000	41_dumps
