frame	phase	buttons	fingerprint
0	1		66564427:0
0	1		598392998:960
120	1		877702039:25800
240	2		206542110:45120
360	2	start	206542110:45120
480	2	down	972456399:45600
600	2	down	972456399:45600
720	2	down	972456399:45600
840	2	down	206542110:45120
960	2	down	206542110:45120
1080	2	down	206542110:45120
1200	2	down	206542110:45120
1320	2	down	206542110:45120
1440	2	down	206542110:45120
1560	2	down	206542110:45120
1680	2	down	206542110:45120
1800	2	down	206542110:45120
1920	2	down	206542110:45120
2040	2	down	206542110:45120
