frame	phase	route	fingerprint	dump_prefix	writes
121	route	opening	877702039:25800	kunio_fceux_lua_output/manual_frame_000122	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
211	route	opening	206542110:45120	kunio_fceux_lua_output/manual_frame_000212	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
301	route	opening	697285037:29760	kunio_fceux_lua_output/manual_frame_000302	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
391	route	opening	972456399:45600	kunio_fceux_lua_output/manual_frame_000392	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
642	route	opening	206542110:45120	kunio_fceux_lua_output/manual_frame_000643	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
732	route	opening	972456399:45600	kunio_fceux_lua_output/manual_frame_000733	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
974	route	opening	206542110:45120	kunio_fceux_lua_output/manual_frame_000975	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1064	route	start_down_a	697285037:29760	kunio_fceux_lua_output/manual_frame_001065	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1154	route	start_down_a	206542110:45120	kunio_fceux_lua_output/manual_frame_001155	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1260	route	start_down_a	697285037:29760	kunio_fceux_lua_output/manual_frame_001261	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1350	route	select_down_a	323851653:39240	kunio_fceux_lua_output/manual_frame_001351	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1725	inject	start_right_a	814594580:23880	kunio_fceux_lua_output/manual_frame_001726	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1815	inject	start_right_a	206542110:45120	kunio_fceux_lua_output/manual_frame_001816	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2555	route	start_up_a	697285037:29760	kunio_fceux_lua_output/manual_frame_002556	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2645	route	start_up_a	206542110:45120	kunio_fceux_lua_output/manual_frame_002646	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2765	route	start_up_a	697285037:29760	kunio_fceux_lua_output/manual_frame_002766	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2855	route	start_down_a	323851653:39240	kunio_fceux_lua_output/manual_frame_002856	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
3000	done	done	323851653:39240		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
