frame	route	fingerprint	dump_prefix
121	opening	877702039:25800	kunio_fceux_lua_output/manual_frame_000122
211	opening	206542110:45120	kunio_fceux_lua_output/manual_frame_000212
301	opening	697285037:29760	kunio_fceux_lua_output/manual_frame_000302
391	opening	972456399:45600	kunio_fceux_lua_output/manual_frame_000392
642	opening	206542110:45120	kunio_fceux_lua_output/manual_frame_000643
732	opening	972456399:45600	kunio_fceux_lua_output/manual_frame_000733
974	opening	206542110:45120	kunio_fceux_lua_output/manual_frame_000975
1064	start_down_a	697285037:29760	kunio_fceux_lua_output/manual_frame_001065
1154	start_down_a	206542110:45120	kunio_fceux_lua_output/manual_frame_001155
1260	start_down_a	697285037:29760	kunio_fceux_lua_output/manual_frame_001261
1350	select_down_a	323851653:39240	kunio_fceux_lua_output/manual_frame_001351
1725	start_right_a	814594580:23880	kunio_fceux_lua_output/manual_frame_001726
1815	start_right_a	206542110:45120	kunio_fceux_lua_output/manual_frame_001816
1905	start_right_a	323851653:39240	kunio_fceux_lua_output/manual_frame_001906
2024	select_right_a	814594580:23880	kunio_fceux_lua_output/manual_frame_002025
2114	select_right_a	206542110:45120	kunio_fceux_lua_output/manual_frame_002115
2204	select_right_a	323851653:39240	kunio_fceux_lua_output/manual_frame_002205
2294	menu_left_a	463199319:30240	kunio_fceux_lua_output/manual_frame_002295
2384	menu_left_a	206542110:45120	kunio_fceux_lua_output/manual_frame_002385
2474	menu_left_a	323851653:39240	kunio_fceux_lua_output/manual_frame_002475
2564	start_up_a	697285037:29760	kunio_fceux_lua_output/manual_frame_002565
2654	start_up_a	206542110:45120	kunio_fceux_lua_output/manual_frame_002655
2765	start_up_a	697285037:29760	kunio_fceux_lua_output/manual_frame_002766
2855	start_down_a	323851653:39240	kunio_fceux_lua_output/manual_frame_002856
3000	done	323851653:39240	unique=24
